"name","active","priority"
"GREEN 101","TRUE",10000
"GREEN 102","TRUE",10000
"GREEN 103","TRUE",10000
"GREEN 301","TRUE",10000
"GREEN 302","TRUE",10000
"GREEN 303","TRUE",10000
"GREEN 304","TRUE",10000
"GREEN 201","TRUE",10000
"GREEN 202","TRUE",10000
"GREEN 203","TRUE",10000
"GREEN 204","TRUE",10000
"BLUE 101","TRUE",2000
"BLUE 102","TRUE",2000
"BLUE 103","TRUE",2000
"BLUE 104","TRUE",2000
"BLUE 105","TRUE",2000
"BLUE 106","TRUE",2000
"BLUE 201","TRUE",2000
"BLUE 301","TRUE",3000
"BLUE 302","TRUE",3000
"BLUE 303","TRUE",3000
"YELLOW 101","TRUE",3000
"YELLOW 102","TRUE",3000
"YELLOW 103","TRUE",3000
"YELLOW 104","TRUE",3000
"RED 101","TRUE",10
"RED 102","TRUE",10
"RED 103","TRUE",10
"RED 104","TRUE",10
"RED 105","TRUE",10
"RED 106","TRUE",10
"RED 107","TRUE",10
"RED 108","TRUE",10
"RED 109","TRUE",10
"RED 110","TRUE",10
"RED 111","TRUE",10
"RED 112","TRUE",10
"RED 113","TRUE",10
"RED 114","TRUE",10
"RED 115","TRUE",10
"RED 116","TRUE",10
"RED 117","TRUE",10
"RED 118","TRUE",10
"RED 119","TRUE",10
"RED 120","TRUE",10
"RED 121","TRUE",10
"RED 201","TRUE",20
"RED 301","TRUE",20
"RED 302","TRUE",20
"RED 303","TRUE",20
